path,participant_id,sequence_id,sign
train_landmark_files/34503/1031058936.parquet,34503,1031058936,please
train_landmark_files/36257/1031139337.parquet,36257,1031139337,girl
train_landmark_files/27610/1031658415.parquet,27610,1031658415,man
train_landmark_files/62590/1031693648.parquet,62590,1031693648,hello
train_landmark_files/4718/1031918144.parquet,4718,1031918144,please
train_landmark_files/32319/1032050962.parquet,32319,1032050962,mom
train_landmark_files/22343/1032529539.parquet,22343,1032529539,sleep
train_landmark_files/34503/1032597281.parquet,34503,1032597281,blue
train_landmark_files/37055/1032989664.parquet,37055,1032989664,go
train_landmark_files/36257/1033007049.parquet,36257,1033007049,mom
train_landmark_files/34503/1033041369.parquet,34503,1033041369,dad
train_landmark_files/37779/1033181756.parquet,37779,1033181756,hello
train_landmark_files/26734/1033366533.parquet,26734,1033366533,sleep
train_landmark_files/36257/1033988482.parquet,36257,1033988482,man
train_landmark_files/18796/1034110468.parquet,18796,1034110468,happy
train_landmark_files/55372/1034356838.parquet,55372,1034356838,drink
train_landmark_files/16069/103441466.parquet,16069,103441466,sad
train_landmark_files/36257/1034423299.parquet,36257,1034423299,bye
train_landmark_files/49445/1034459795.parquet,49445,1034459795,red
train_landmark_files/53618/1034631660.parquet,53618,1034631660,drink
train_landmark_files/25571/1035084295.parquet,25571,1035084295,black
train_landmark_files/34503/103525223.parquet,34503,103525223,drink
train_landmark_files/53618/1035730875.parquet,53618,1035730875,sleep
train_landmark_files/32319/1035840159.parquet,32319,1035840159,happy
train_landmark_files/30680/1036539894.parquet,30680,1036539894,white
train_landmark_files/22343/1036548519.parquet,22343,1036548519,sick
train_landmark_files/4718/1037988102.parquet,4718,1037988102,black
train_landmark_files/2044/1038300531.parquet,2044,1038300531,sick
train_landmark_files/29302/1038478644.parquet,29302,1038478644,please
train_landmark_files/4718/1038582543.parquet,4718,1038582543,hungry
train_landmark_files/62590/1039263697.parquet,62590,1039263697,bye
train_landmark_files/53618/1039826813.parquet,53618,1039826813,dad
train_landmark_files/53618/1039933323.parquet,53618,1039933323,man
train_landmark_files/25571/1040080251.parquet,25571,1040080251,hello
train_landmark_files/2044/1040195717.parquet,2044,1040195717,boy
train_landmark_files/26734/1040364449.parquet,26734,1040364449,black
train_landmark_files/29302/1040682636.parquet,29302,1040682636,child
train_landmark_files/22343/1041640986.parquet,22343,1041640986,mom
train_landmark_files/37779/1041802107.parquet,37779,1041802107,please
train_landmark_files/37055/1041824547.parquet,37055,1041824547,please
train_landmark_files/28656/1042331405.parquet,28656,1042331405,dad
train_landmark_files/34503/1042395427.parquet,34503,1042395427,yellow
train_landmark_files/2044/1042730912.parquet,2044,1042730912,hungry
train_landmark_files/53618/1044118052.parquet,53618,1044118052,happy
train_landmark_files/49445/1045114673.parquet,49445,1045114673,drink
train_landmark_files/37779/104583781.parquet,37779,104583781,sleep
train_landmark_files/26734/1046246037.parquet,26734,1046246037,blue
train_landmark_files/30680/104723878.parquet,30680,104723878,bad
train_landmark_files/25571/1047322897.parquet,25571,1047322897,white
train_landmark_files/29302/1048033497.parquet,29302,1048033497,sad
train_landmark_files/2044/1049435447.parquet,2044,1049435447,white
train_landmark_files/62590/104949768.parquet,62590,104949768,please
train_landmark_files/37055/1049534022.parquet,37055,1049534022,thankyou
train_landmark_files/32319/1050027994.parquet,32319,1050027994,go
train_landmark_files/18796/1050640176.parquet,18796,1050640176,sick
train_landmark_files/25571/1050684799.parquet,25571,1050684799,hello
train_landmark_files/2044/105089559.parquet,2044,105089559,white
train_landmark_files/36257/1050993014.parquet,36257,1050993014,please
train_landmark_files/27610/1052839828.parquet,27610,1052839828,mom
train_landmark_files/4718/1052998573.parquet,4718,1052998573,boy
train_landmark_files/16069/1053573508.parquet,16069,1053573508,go
train_landmark_files/53618/105413914.parquet,53618,105413914,blue
train_landmark_files/29302/1054418038.parquet,29302,1054418038,happy
train_landmark_files/22343/1054794425.parquet,22343,1054794425,hungry
train_landmark_files/49445/1054875916.parquet,49445,1054875916,sad
train_landmark_files/27610/105533801.parquet,27610,105533801,go
train_landmark_files/32319/105544881.parquet,32319,105544881,happy
train_landmark_files/28656/1055824014.parquet,28656,1055824014,thirsty
train_landmark_files/2044/1056446974.parquet,2044,1056446974,boy
train_landmark_files/22343/1056524239.parquet,22343,1056524239,thirsty
train_landmark_files/4718/1056719555.parquet,4718,1056719555,yellow
train_landmark_files/29302/1058373924.parquet,29302,1058373924,sleep
train_landmark_files/28656/10590618.parquet,28656,10590618,mom
train_landmark_files/27610/105910120.parquet,27610,105910120,hungry
train_landmark_files/34503/105929162.parquet,34503,105929162,drink
train_landmark_files/2044/1059459368.parquet,2044,1059459368,drink
train_landmark_files/25571/1059820518.parquet,25571,1059820518,hungry
train_landmark_files/28656/106003005.parquet,28656,106003005,blue
train_landmark_files/25571/1060260235.parquet,25571,1060260235,thirsty
train_landmark_files/27610/106065033.parquet,27610,106065033,man
train_landmark_files/29302/1060843584.parquet,29302,1060843584,hello
train_landmark_files/29302/1061196554.parquet,29302,1061196554,sick
train_landmark_files/62590/1061949915.parquet,62590,1061949915,bad
train_landmark_files/2044/1062075977.parquet,2044,1062075977,happy
train_landmark_files/29302/106210257.parquet,29302,106210257,sleep
train_landmark_files/62590/1062602932.parquet,62590,1062602932,sleep
train_landmark_files/37779/1062663574.parquet,37779,1062663574,bad
train_landmark_files/30680/106279834.parquet,30680,106279834,hello
train_landmark_files/16069/106311451.parquet,16069,106311451,drink
train_landmark_files/26734/1063703814.parquet,26734,1063703814,blue
train_landmark_files/26734/1063767154.parquet,26734,1063767154,black
train_landmark_files/49445/1063769794.parquet,49445,1063769794,blue
train_landmark_files/37779/1063987739.parquet,37779,1063987739,white
train_landmark_files/16069/1064422373.parquet,16069,1064422373,thirsty
train_landmark_files/18796/1064544585.parquet,18796,1064544585,drink
train_landmark_files/22343/1064907243.parquet,22343,1064907243,sad
train_landmark_files/26734/1065109650.parquet,26734,1065109650,boy
train_landmark_files/16069/1065169030.parquet,16069,1065169030,blue
train_landmark_files/62590/1065848323.parquet,62590,1065848323,dad
train_landmark_files/26734/1066095990.parquet,26734,1066095990,sleep
train_landmark_files/26734/106684670.parquet,26734,106684670,dad
train_landmark_files/22343/1066995939.parquet,22343,1066995939,man
train_landmark_files/32319/106714329.parquet,32319,106714329,hello
train_landmark_files/34503/1067431945.parquet,34503,1067431945,man
train_landmark_files/26734/1067508758.parquet,26734,1067508758,yellow
train_landmark_files/37779/1067631606.parquet,37779,1067631606,thankyou
train_landmark_files/61333/1068509721.parquet,61333,1068509721,girl
train_landmark_files/29302/1068703624.parquet,29302,1068703624,sick
train_landmark_files/61333/106954310.parquet,61333,106954310,bad
train_landmark_files/2044/1070643840.parquet,2044,1070643840,mom
train_landmark_files/37779/107094913.parquet,37779,107094913,thankyou
train_landmark_files/55372/1071296506.parquet,55372,1071296506,yellow
train_landmark_files/55372/1071461853.parquet,55372,1071461853,white
train_landmark_files/29302/1071647371.parquet,29302,1071647371,thirsty
train_landmark_files/26734/1071702417.parquet,26734,1071702417,child
train_landmark_files/26734/1072076887.parquet,26734,1072076887,hello
train_landmark_files/55372/1073002395.parquet,55372,1073002395,please
train_landmark_files/26734/1073170987.parquet,26734,1073170987,black
train_landmark_files/2044/1073210547.parquet,2044,1073210547,mom
train_landmark_files/32319/1073776818.parquet,32319,1073776818,blue
train_landmark_files/55372/1074257832.parquet,55372,1074257832,boy
train_landmark_files/62590/1074756737.parquet,62590,1074756737,hungry
train_landmark_files/37055/1074835115.parquet,37055,1074835115,white
train_landmark_files/2044/1075204620.parquet,2044,1075204620,bad
train_landmark_files/37779/1075688489.parquet,37779,1075688489,happy
train_landmark_files/32319/1077178879.parquet,32319,1077178879,bye
train_landmark_files/2044/1077201783.parquet,2044,1077201783,happy
train_landmark_files/28656/1077429985.parquet,28656,1077429985,green
train_landmark_files/29302/1077574866.parquet,29302,1077574866,hello
train_landmark_files/26734/1078075343.parquet,26734,1078075343,sleep
train_landmark_files/30680/1078636076.parquet,30680,1078636076,bad
train_landmark_files/28656/1078911869.parquet,28656,1078911869,thirsty
train_landmark_files/37779/1079183421.parquet,37779,1079183421,yellow
train_landmark_files/26734/1080194929.parquet,26734,1080194929,sick
train_landmark_files/62590/1080233398.parquet,62590,1080233398,man
train_landmark_files/28656/1081134123.parquet,28656,1081134123,girl
train_landmark_files/28656/1081956093.parquet,28656,1081956093,go
train_landmark_files/32319/1082035519.parquet,32319,1082035519,green
train_landmark_files/62590/1082272117.parquet,62590,1082272117,green
train_landmark_files/4718/1082405706.parquet,4718,1082405706,green
train_landmark_files/25571/1083422856.parquet,25571,1083422856,yellow
train_landmark_files/29302/108349232.parquet,29302,108349232,happy
train_landmark_files/62590/1083816707.parquet,62590,1083816707,go
train_landmark_files/26734/1085030163.parquet,26734,1085030163,white
train_landmark_files/28656/1085402131.parquet,28656,1085402131,hungry
train_landmark_files/61333/1085547998.parquet,61333,1085547998,bad
train_landmark_files/25571/1085941225.parquet,25571,1085941225,white
train_landmark_files/29302/1086016810.parquet,29302,1086016810,dad
train_landmark_files/32319/1086215970.parquet,32319,1086215970,happy
train_landmark_files/25571/1086498111.parquet,25571,1086498111,thankyou
train_landmark_files/55372/1086761363.parquet,55372,1086761363,bad
train_landmark_files/49445/1087449601.parquet,49445,1087449601,red
train_landmark_files/32319/1087463416.parquet,32319,1087463416,mom
train_landmark_files/49445/1087620530.parquet,49445,1087620530,white
train_landmark_files/28656/1087675910.parquet,28656,1087675910,child
train_landmark_files/2044/1088100780.parquet,2044,1088100780,go
train_landmark_files/55372/1088142898.parquet,55372,1088142898,boy
train_landmark_files/18796/108924036.parquet,18796,108924036,go
train_landmark_files/18796/1089662600.parquet,18796,1089662600,blue
train_landmark_files/26734/1090097371.parquet,26734,1090097371,bad
train_landmark_files/36257/1090885668.parquet,36257,1090885668,drink
train_landmark_files/22343/1091172914.parquet,22343,1091172914,blue
train_landmark_files/30680/1091541723.parquet,30680,1091541723,drink
train_landmark_files/37055/1091759576.parquet,37055,1091759576,please
train_landmark_files/26734/109190877.parquet,26734,109190877,thankyou
train_landmark_files/32319/1094388764.parquet,32319,1094388764,drink
train_landmark_files/37779/1094543884.parquet,37779,1094543884,sad
train_landmark_files/25571/1094732715.parquet,25571,1094732715,child
train_landmark_files/25571/1094828042.parquet,25571,1094828042,boy
train_landmark_files/55372/1094930434.parquet,55372,1094930434,mom
train_landmark_files/32319/1095133532.parquet,32319,1095133532,bye
train_landmark_files/27610/1096235038.parquet,27610,1096235038,child
train_landmark_files/22343/1096235365.parquet,22343,1096235365,please
train_landmark_files/49445/109754954.parquet,49445,109754954,child
train_landmark_files/62590/1097606079.parquet,62590,1097606079,blue
train_landmark_files/36257/1098234177.parquet,36257,1098234177,happy
train_landmark_files/62590/1098379579.parquet,62590,1098379579,drink
train_landmark_files/29302/1098760881.parquet,29302,1098760881,thankyou
train_landmark_files/37055/1098792158.parquet,37055,1098792158,yellow
train_landmark_files/49445/1098924734.parquet,49445,1098924734,white
train_landmark_files/26734/1099336112.parquet,26734,1099336112,dad
train_landmark_files/32319/1099558841.parquet,32319,1099558841,mom
train_landmark_files/49445/1099670198.parquet,49445,1099670198,thirsty
train_landmark_files/30680/1099771366.parquet,30680,1099771366,go
train_landmark_files/32319/1099787837.parquet,32319,1099787837,hungry
train_landmark_files/2044/1099832534.parquet,2044,1099832534,yellow
train_landmark_files/53618/1099988541.parquet,53618,1099988541,red
train_landmark_files/18796/110017707.parquet,18796,110017707,please
train_landmark_files/27610/1101072712.parquet,27610,1101072712,white
train_landmark_files/55372/1101447108.parquet,55372,1101447108,sleep
train_landmark_files/55372/1102009220.parquet,55372,1102009220,dad
train_landmark_files/2044/1102084872.parquet,2044,1102084872,dad
train_landmark_files/61333/1102212482.parquet,61333,1102212482,black
train_landmark_files/62590/1102733603.parquet,62590,1102733603,hello
train_landmark_files/18796/1102923852.parquet,18796,1102923852,red
train_landmark_files/36257/1103110586.parquet,36257,1103110586,hungry
train_landmark_files/18796/1103425253.parquet,18796,1103425253,sleep
train_landmark_files/4718/1103626.parquet,4718,1103626,sleep
train_landmark_files/26734/1104507932.parquet,26734,1104507932,go
train_landmark_files/18796/1104933038.parquet,18796,1104933038,boy
train_landmark_files/53618/1105260620.parquet,53618,1105260620,go
train_landmark_files/27610/110677842.parquet,27610,110677842,bad
train_landmark_files/18796/1106875566.parquet,18796,1106875566,happy
train_landmark_files/61333/1107025850.parquet,61333,1107025850,please
train_landmark_files/53618/1107428783.parquet,53618,1107428783,thirsty
train_landmark_files/25571/1107646242.parquet,25571,1107646242,thirsty
train_landmark_files/16069/1108126600.parquet,16069,1108126600,man
train_landmark_files/25571/1108565868.parquet,25571,1108565868,go
train_landmark_files/22343/1108748652.parquet,22343,1108748652,go
train_landmark_files/4718/1109686568.parquet,4718,1109686568,sleep
train_landmark_files/26734/1110102301.parquet,26734,1110102301,man
train_landmark_files/55372/1110615443.parquet,55372,1110615443,girl
train_landmark_files/4718/1111453392.parquet,4718,1111453392,sleep
train_landmark_files/49445/1112022325.parquet,49445,1112022325,black
train_landmark_files/49445/1112033790.parquet,49445,1112033790,go
train_landmark_files/55372/1112251115.parquet,55372,1112251115,bye
train_landmark_files/61333/1112604964.parquet,61333,1112604964,mom
train_landmark_files/36257/111269148.parquet,36257,111269148,hello
train_landmark_files/49445/1113349641.parquet,49445,1113349641,thirsty
train_landmark_files/37055/11141994.parquet,37055,11141994,happy
train_landmark_files/4718/1114344268.parquet,4718,1114344268,please
train_landmark_files/25571/1114485061.parquet,25571,1114485061,black
train_landmark_files/26734/1114630639.parquet,26734,1114630639,please
train_landmark_files/28656/1114647121.parquet,28656,1114647121,thirsty
train_landmark_files/36257/1114699126.parquet,36257,1114699126,bye
train_landmark_files/27610/1114923623.parquet,27610,1114923623,blue
train_landmark_files/16069/1116075360.parquet,16069,1116075360,happy
train_landmark_files/16069/111646172.parquet,16069,111646172,drink
train_landmark_files/29302/1117086675.parquet,29302,1117086675,please
train_landmark_files/27610/1117471491.parquet,27610,1117471491,girl
train_landmark_files/27610/1117740929.parquet,27610,1117740929,black
train_landmark_files/55372/1118019189.parquet,55372,1118019189,black
train_landmark_files/29302/1118278339.parquet,29302,1118278339,happy
train_landmark_files/37055/1118641087.parquet,37055,1118641087,thirsty
train_landmark_files/49445/1118716790.parquet,49445,1118716790,go
train_landmark_files/37055/1119062362.parquet,37055,1119062362,boy
train_landmark_files/37779/111931370.parquet,37779,111931370,sleep
train_landmark_files/37779/1119382731.parquet,37779,1119382731,dad
train_landmark_files/37055/1119536394.parquet,37055,1119536394,hungry
train_landmark_files/4718/1119661408.parquet,4718,1119661408,girl
train_landmark_files/18796/1119749380.parquet,18796,1119749380,thirsty
train_landmark_files/62590/1119762799.parquet,62590,1119762799,red
train_landmark_files/2044/1120272621.parquet,2044,1120272621,dad
train_landmark_files/29302/1120457621.parquet,29302,1120457621,white
train_landmark_files/2044/112135327.parquet,2044,112135327,drink
train_landmark_files/18796/1123386430.parquet,18796,1123386430,go
train_landmark_files/30680/1123525423.parquet,30680,1123525423,hungry
train_landmark_files/53618/112413520.parquet,53618,112413520,child
train_landmark_files/2044/1124156916.parquet,2044,1124156916,mom
train_landmark_files/16069/1124345677.parquet,16069,1124345677,mom
train_landmark_files/37055/1124524827.parquet,37055,1124524827,yellow
train_landmark_files/18796/1124776703.parquet,18796,1124776703,go
train_landmark_files/22343/1124783724.parquet,22343,1124783724,bye
train_landmark_files/4718/1124952146.parquet,4718,1124952146,bye
train_landmark_files/18796/1125118798.parquet,18796,1125118798,red
train_landmark_files/16069/1125567991.parquet,16069,1125567991,thankyou
train_landmark_files/34503/1126270365.parquet,34503,1126270365,girl
train_landmark_files/36257/1126493392.parquet,36257,1126493392,child
train_landmark_files/37055/1126785205.parquet,37055,1126785205,boy
train_landmark_files/37779/1126881369.parquet,37779,1126881369,thirsty
train_landmark_files/26734/1127581393.parquet,26734,1127581393,white
train_landmark_files/37055/1127840075.parquet,37055,1127840075,sleep
train_landmark_files/30680/1128998801.parquet,30680,1128998801,sick
train_landmark_files/53618/1129435260.parquet,53618,1129435260,yellow
train_landmark_files/37055/1129852197.parquet,37055,1129852197,dad
train_landmark_files/28656/1130099974.parquet,28656,1130099974,red
train_landmark_files/26734/1130595667.parquet,26734,1130595667,yellow
train_landmark_files/55372/1131246500.parquet,55372,1131246500,sad
train_landmark_files/62590/1131783740.parquet,62590,1131783740,girl
train_landmark_files/37779/113279499.parquet,37779,113279499,hello
train_landmark_files/49445/1134642068.parquet,49445,1134642068,dad
train_landmark_files/2044/1134757113.parquet,2044,1134757113,yellow
train_landmark_files/30680/1134953644.parquet,30680,1134953644,sad
train_landmark_files/25571/1136469609.parquet,25571,1136469609,bye
train_landmark_files/29302/1137163340.parquet,29302,1137163340,green
train_landmark_files/53618/1137252930.parquet,53618,1137252930,sad
train_landmark_files/37779/1138033556.parquet,37779,1138033556,sleep
train_landmark_files/53618/1138039648.parquet,53618,1138039648,bad
train_landmark_files/28656/1138144357.parquet,28656,1138144357,bad
train_landmark_files/27610/1138361417.parquet,27610,1138361417,girl
train_landmark_files/28656/1138503174.parquet,28656,1138503174,please
train_landmark_files/62590/1139064509.parquet,62590,1139064509,sad
train_landmark_files/53618/1139095422.parquet,53618,1139095422,red
train_landmark_files/26734/1139417316.parquet,26734,1139417316,go
train_landmark_files/29302/1139597151.parquet,29302,1139597151,man
train_landmark_files/25571/1140170021.parquet,25571,1140170021,girl
train_landmark_files/37055/1140732822.parquet,37055,1140732822,bye
train_landmark_files/53618/1141017408.parquet,53618,1141017408,red
train_landmark_files/37055/1142401241.parquet,37055,1142401241,green
train_landmark_files/34503/1142500280.parquet,34503,1142500280,mom
train_landmark_files/36257/1143268892.parquet,36257,1143268892,sad
train_landmark_files/29302/1143676151.parquet,29302,1143676151,hello
train_landmark_files/53618/1143995359.parquet,53618,1143995359,thirsty
train_landmark_files/37779/1144231859.parquet,37779,1144231859,black
train_landmark_files/37779/1144435165.parquet,37779,1144435165,sleep
train_landmark_files/55372/114514125.parquet,55372,114514125,man
train_landmark_files/22343/1146297640.parquet,22343,1146297640,green
train_landmark_files/55372/1146787954.parquet,55372,1146787954,white
train_landmark_files/36257/114699185.parquet,36257,114699185,sick
train_landmark_files/37779/1147177525.parquet,37779,1147177525,yellow
train_landmark_files/34503/114727522.parquet,34503,114727522,white
train_landmark_files/37779/1147773017.parquet,37779,1147773017,mom
train_landmark_files/18796/1148095665.parquet,18796,1148095665,thankyou
train_landmark_files/2044/1148566480.parquet,2044,1148566480,hello
train_landmark_files/25571/1149550000.parquet,25571,1149550000,thirsty
train_landmark_files/2044/1150494748.parquet,2044,1150494748,child
train_landmark_files/22343/1151249432.parquet,22343,1151249432,mom
train_landmark_files/25571/1151735286.parquet,25571,1151735286,sleep
train_landmark_files/16069/1151925788.parquet,16069,1151925788,happy
train_landmark_files/32319/1152743682.parquet,32319,1152743682,yellow
train_landmark_files/53618/1154105146.parquet,53618,1154105146,please
train_landmark_files/34503/1154256751.parquet,34503,1154256751,sad
train_landmark_files/37055/11548231.parquet,37055,11548231,happy
train_landmark_files/30680/1155828277.parquet,30680,1155828277,bad
train_landmark_files/37779/1156521473.parquet,37779,1156521473,bye
train_landmark_files/30680/1157444925.parquet,30680,1157444925,boy
train_landmark_files/53618/1157764201.parquet,53618,1157764201,man
train_landmark_files/25571/1158011708.parquet,25571,1158011708,boy
train_landmark_files/28656/1158353583.parquet,28656,1158353583,hungry
train_landmark_files/2044/1158372807.parquet,2044,1158372807,go
train_landmark_files/61333/1158467905.parquet,61333,1158467905,drink
train_landmark_files/34503/1158744762.parquet,34503,1158744762,dad
train_landmark_files/26734/1160711543.parquet,26734,1160711543,white
train_landmark_files/49445/1160753712.parquet,49445,1160753712,yellow
train_landmark_files/55372/1161022841.parquet,55372,1161022841,thirsty
train_landmark_files/32319/1161449438.parquet,32319,1161449438,green
train_landmark_files/4718/1161474237.parquet,4718,1161474237,sad
train_landmark_files/32319/1162136646.parquet,32319,1162136646,boy
train_landmark_files/37055/1162862873.parquet,37055,1162862873,sick
train_landmark_files/49445/1162992883.parquet,49445,1162992883,blue
train_landmark_files/62590/1163337257.parquet,62590,1163337257,drink
train_landmark_files/26734/116389034.parquet,26734,116389034,thankyou
train_landmark_files/29302/1164264111.parquet,29302,1164264111,drink
train_landmark_files/30680/1164782714.parquet,30680,1164782714,please
train_landmark_files/22343/1165035577.parquet,22343,1165035577,drink
train_landmark_files/16069/1165318141.parquet,16069,1165318141,red
train_landmark_files/27610/1165403768.parquet,27610,1165403768,bad
train_landmark_files/62590/1165617815.parquet,62590,1165617815,yellow
train_landmark_files/28656/1165929598.parquet,28656,1165929598,sad
train_landmark_files/16069/1166557191.parquet,16069,1166557191,child
train_landmark_files/37779/1168261937.parquet,37779,1168261937,happy
train_landmark_files/25571/1168446963.parquet,25571,1168446963,thankyou
train_landmark_files/53618/1168859200.parquet,53618,1168859200,man
train_landmark_files/32319/1168975990.parquet,32319,1168975990,child
train_landmark_files/4718/1169089709.parquet,4718,1169089709,drink
train_landmark_files/18796/1169772268.parquet,18796,1169772268,bad
train_landmark_files/37055/1170553653.parquet,37055,1170553653,black
train_landmark_files/55372/1170656820.parquet,55372,1170656820,black
train_landmark_files/36257/1171299665.parquet,36257,1171299665,hello
train_landmark_files/26734/117290156.parquet,26734,117290156,please
train_landmark_files/62590/1173397373.parquet,62590,1173397373,blue
train_landmark_files/29302/1173973711.parquet,29302,1173973711,drink
train_landmark_files/37779/1174259150.parquet,37779,1174259150,happy
train_landmark_files/22343/1174776693.parquet,22343,1174776693,boy
train_landmark_files/28656/1175052774.parquet,28656,1175052774,please
train_landmark_files/18796/1175609966.parquet,18796,1175609966,mom
train_landmark_files/37055/117634858.parquet,37055,117634858,girl
train_landmark_files/22343/1176840747.parquet,22343,1176840747,thankyou
train_landmark_files/27610/1176896226.parquet,27610,1176896226,child
train_landmark_files/36257/1177589946.parquet,36257,1177589946,sick
train_landmark_files/22343/1178094938.parquet,22343,1178094938,sick
train_landmark_files/27610/1178257983.parquet,27610,1178257983,red
train_landmark_files/27610/1178486473.parquet,27610,1178486473,hungry
train_landmark_files/55372/1178830613.parquet,55372,1178830613,thankyou
train_landmark_files/53618/1179185577.parquet,53618,1179185577,hello
train_landmark_files/4718/1179398854.parquet,4718,1179398854,please
train_landmark_files/53618/1179444412.parquet,53618,1179444412,bye
train_landmark_files/29302/1179766876.parquet,29302,1179766876,child
train_landmark_files/2044/1179923843.parquet,2044,1179923843,bad
train_landmark_files/32319/1180246984.parquet,32319,1180246984,thirsty
train_landmark_files/25571/1180415897.parquet,25571,1180415897,happy
train_landmark_files/16069/1180445235.parquet,16069,1180445235,please
train_landmark_files/26734/1180726320.parquet,26734,1180726320,girl
train_landmark_files/49445/1184260439.parquet,49445,1184260439,red
train_landmark_files/29302/118455943.parquet,29302,118455943,boy
train_landmark_files/37779/118466701.parquet,37779,118466701,black
train_landmark_files/61333/1185031115.parquet,61333,1185031115,red
train_landmark_files/61333/1185052216.parquet,61333,1185052216,white
train_landmark_files/30680/1185154615.parquet,30680,1185154615,mom
train_landmark_files/62590/118571783.parquet,62590,118571783,sick
train_landmark_files/53618/1186356815.parquet,53618,1186356815,blue
train_landmark_files/29302/1187245575.parquet,29302,1187245575,go
train_landmark_files/2044/1187339119.parquet,2044,1187339119,sick
train_landmark_files/25571/1187858504.parquet,25571,1187858504,white
train_landmark_files/36257/1188141505.parquet,36257,1188141505,mom
train_landmark_files/4718/1190051959.parquet,4718,1190051959,happy
